Timestamp,What is your age?,Gender,Country of current residence,What are you currently doing?,What is the highest education level attained? (or to be attained in the next 12 months),In what field is your highest attained academic programme?,What field best characterises the company you are working for? (If employed),What is your current role/title? (If employed),Are you working in a data-related capacity? ,"Does your company incorporate any data science, machine learning or AI methods in their business?",What route have you taken/are taking to be a data professional?,What is your primary programming language for work in data?,What other tools do you use for data?,(If *Other* in previous question) Which other tools do you use?,How long have you been writing code/doing programmatic data analysis?,Do you use any specialised hardware for data science?,Which specialised hardware do you use?,Which of the following is part of your skillset (comfortable in doing)?,Which of the following do you hope to achieve in the next 12 months?,What has been your biggest obstacle in doing your work in data/practicing as a data profession/pursuing a journey in data? ,What are the initiatives Data Science Zimbabwe should undertake to benefit you more as a data science community member?
5/3/2022 16:26:34,18-25,M,Zimbabwe,Unemployed,Bachelors,agriculture economics,,,No,No,"Self-taught/Bootcamp (including MOOCs e.g Datacamp, Alison, Dataquest, Coursera), University program in another discipline (e.g Economics, Monitoring and Evaluation etc)","Python, R, SPSS/SAS",Excel,,<1 year,No,,"Data visualisation, Tabular data",Certifications (online courses),internet,open more apprenticeship for data science
5/3/2022 16:30:12,>25,M,Zimbabwe,Formally employed,Bachelors,Software Engineering ,Telecommunications,Software Developer ,Sometimes,Yes,"Self-taught/Bootcamp (including MOOCs e.g Datacamp, Alison, Dataquest, Coursera), University program in Data Science, Machine Learning, AI, Comp Science","Python, Other","Excel, Other",SQL,1 - 5 years,No,N/A,"Data visualisation, Tabular data",Certifications (online courses),Relevent Datasets,Competitions for solving local problems. 
5/3/2022 16:42:31,18-25,M,Zimbabwe,Formally employed,Bachelors,IT,Retail,IT Tech,No,Yes,"University program in Data Science, Machine Learning, AI, Comp Science","Python, R",Excel,Power BI,<1 year,No,,"Data visualisation, Computer Vision, Reinforcement Learning, Tabular data",Certifications (online courses),Availability of local datasets,Training and seminars
5/3/2022 16:48:45,18-25,M,Zimbabwe ,University/College,GCE O/A Level,A level Sciences ,,,Sometimes,,"Self-taught/Bootcamp (including MOOCs e.g Datacamp, Alison, Dataquest, Coursera)",Python,Excel,,1 - 5 years,No,,Computer Vision,Certifications (online courses),Time management ,Offer course with certification
5/3/2022 17:13:37,>25,M,Zimbabwe,Formally employed,Bachelors,Computer Information Systems,Solution Orientation,Software Engineer,No,Yes,"Self-taught/Bootcamp (including MOOCs e.g Datacamp, Alison, Dataquest, Coursera)",Python,Knime/Weka/RapidMiner,,>5 years,No,,"Data visualisation, NLP",Certifications (online courses),Opportunities,Open source projects
5/3/2022 17:49:59,>25,M,Zimbabwe,Formally employed,Bachelors,Operations Research and Statistics,Law,Data Analyst,Yes,No,"Self-taught/Bootcamp (including MOOCs e.g Datacamp, Alison, Dataquest, Coursera), University program in Data Science, Machine Learning, AI, Comp Science","Python, SPSS/SAS",Excel,,<1 year,No,,"Data visualisation, Tabular data",Certifications (online courses),Finding tutorials on coding,Teach data analysis or data science and offer certifications based on what Zimbabwean market wants.
5/3/2022 18:21:57,>25,M,Zimbabwe ,Formally employed,Masters/Postgrad Diploma,Big data analytics ,BI,BI Developer ,Yes,No,"University program in Data Science, Machine Learning, AI, Comp Science","Python, R, Other","Excel, Other",PowerBI,>5 years,No,,Data visualisation,Certifications (online courses),Lack of data appreciation ,Teach Zimbabwe that data is the new gold
5/3/2022 18:58:31,>25,M,Zimbabwe ,Formally employed,Bachelors,Geographical information Science and Earth Observation ,Research institution,Scientist ,Yes,Yes,"University program in Data Science, Machine Learning, AI, Comp Science, University program in another discipline (e.g Economics, Monitoring and Evaluation etc)","Python, Javascript",Excel,,<1 year,Yes,HPC,Data visualisation,Start a formal degree program (or college program),"The field of data science is filled with noise that obscure the path to follow(tools, approaches, programming language)",Hold more bootcamps and masterclasses 
5/3/2022 19:05:21,>25,F,Zimbabwe,University/College,Masters/Postgrad Diploma,Big Data Science ,Education ,Academic Skills Coach ,No,No,"University program in Data Science, Machine Learning, AI, Comp Science",Python,"Excel, Knime/Weka/RapidMiner",,<1 year,No,N/A,Tabular data,Certifications (online courses),Learning programming languages ,More interactive physical seminars 
5/3/2022 19:40:05,18-25,M,Zimbabwe,Other,Diploma/National Certificate,Telecommunications,It,Customer Support ,No,No,"Self-taught/Bootcamp (including MOOCs e.g Datacamp, Alison, Dataquest, Coursera)",Other,Other,Power bi,<1 year,No,,Data visualisation,Certifications (online courses),Unpaid /paid internships ,More practical competitions or mentorship programs
